embedding_a,embedding_b,pair,k,mean_dissimilarity,median_dissimilarity,n_cells
harmony_lineage,scvi_lineage,harmony_lineage vs scvi_lineage,50,0.9848964412877008,0.98989898989899,399605
harmony_lineage,scvi_lineage,harmony_lineage vs scvi_lineage,100,0.9803061473373698,0.98989898989899,399605
harmony_lineage,scvi_lineage,harmony_lineage vs scvi_lineage,200,0.9742575134583729,0.9821882951653944,399605
scpoli_global,scpoli_lineage,scpoli_global vs scpoli_lineage,5,0.9989374626491282,1.0,399605
scpoli_global,scpoli_lineage,scpoli_global vs scpoli_lineage,10,0.9983870169365553,1.0,399605
scpoli_global,scpoli_lineage,scpoli_global vs scpoli_lineage,20,0.9975716121909798,1.0,399605
scpoli_global,scpoli_lineage,scpoli_global vs scpoli_lineage,50,0.995727072784985,1.0,399605
scpoli_global,scpoli_lineage,scpoli_global vs scpoli_lineage,100,0.993469098057404,1.0,399605
scpoli_global,scpoli_lineage,scpoli_global vs scpoli_lineage,200,0.9900896656519486,0.9974937343358397,399605
scpoli_global,scvi_global,scpoli_global vs scvi_global,5,0.9989314845235067,1.0,399605
scpoli_global,scvi_global,scpoli_global vs scvi_global,10,0.9985006216810979,1.0,399605
scpoli_global,scvi_global,scpoli_global vs scvi_global,20,0.9978466701871699,1.0,399605
scpoli_global,scvi_global,scpoli_global vs scvi_global,50,0.9963868812760126,1.0,399605
scpoli_global,scvi_global,scpoli_global vs scvi_global,100,0.9946286915043583,1.0,399605
scpoli_global,scvi_global,scpoli_global vs scvi_global,200,0.9919722380074127,0.9974937343358397,399605
scpoli_global,scvi_lineage,scpoli_global vs scvi_lineage,5,0.9990790409497632,1.0,399605
scpoli_global,scvi_lineage,scpoli_global vs scvi_lineage,10,0.998748249234052,1.0,399605
scpoli_global,scvi_lineage,scpoli_global vs scvi_lineage,20,0.9981714580715383,1.0,399605
scpoli_global,scvi_lineage,scpoli_global vs scvi_lineage,50,0.996988366917195,1.0,399605
scpoli_global,scvi_lineage,scpoli_global vs scvi_lineage,100,0.9956099532092392,1.0,399605
scpoli_global,scvi_lineage,scpoli_global vs scvi_lineage,200,0.9936821378806064,1.0,399605
scpoli_lineage,scvi_global,scpoli_lineage vs scvi_global,5,0.9965739878447425,1.0,399605
scpoli_lineage,scvi_global,scpoli_lineage vs scvi_global,10,0.9952713175398773,1.0,399605
scpoli_lineage,scvi_global,scpoli_lineage vs scvi_global,20,0.9932902501239302,1.0,399605
scpoli_lineage,scvi_global,scpoli_lineage vs scvi_global,50,0.9892813411308824,1.0,399605
scpoli_lineage,scvi_global,scpoli_lineage vs scvi_global,100,0.984762355443245,0.9949748743718593,399605
scpoli_lineage,scvi_global,scpoli_lineage vs scvi_global,200,0.9783977491138719,0.98989898989899,399605
scpoli_lineage,scvi_lineage,scpoli_lineage vs scvi_lineage,5,0.9961614078029041,1.0,399605
scpoli_lineage,scvi_lineage,scpoli_lineage vs scvi_lineage,10,0.9949237941929578,1.0,399605
scpoli_lineage,scvi_lineage,scpoli_lineage vs scvi_lineage,20,0.9931586537912044,1.0,399605
scpoli_lineage,scvi_lineage,scpoli_lineage vs scvi_lineage,50,0.9898230433671923,1.0,399605
scpoli_lineage,scvi_lineage,scpoli_lineage vs scvi_lineage,100,0.9861843555066987,0.9949748743718593,399605
scpoli_lineage,scvi_lineage,scpoli_lineage vs scvi_lineage,200,0.9812504047900996,0.9924433249370277,399605
scvi_global,scvi_lineage,scvi_global vs scvi_lineage,5,0.9953381146421774,1.0,399605
scvi_global,scvi_lineage,scvi_global vs scvi_lineage,10,0.9941704667839838,1.0,399605
scvi_global,scvi_lineage,scvi_global vs scvi_lineage,20,0.9924107395348789,1.0,399605
scvi_global,scvi_lineage,scvi_global vs scvi_lineage,50,0.9889758027363169,1.0,399605
scvi_global,scvi_lineage,scvi_global vs scvi_lineage,100,0.9852407933840135,0.9949748743718593,399605
scvi_global,scvi_lineage,scvi_global vs scvi_lineage,200,0.9803623307705953,0.9924433249370277,399605
